GazeX;GazeY;HeadX;HeadY;HeadZ;HeadYaw;HeadPitch;HeadRoll;rx;ry;rw;rh;state;time;FrameNr;Xview;Yview;docX;docY
122;40.8;-0.3;-6.6;50.9;-1;12;-0.1;234;133;169;169;0;1,59509E+12;749;0.08931185944363104;0.042557077625570774;122;27.96
86;47.6;-0.3;-6.6;50.9;-1.2;11.7;-0.1;234;133;169;169;0;1,59509E+12;750;0.0629575402635432;0.04462709284627093;86;29.32
59.6;58;-0.3;-6.6;51.1;-1.3;11.7;-0.2;234;133;169;169;0;1,59509E+12;751;0.043631039531478774;0.047792998477929984;59.6;31.4
67;79.8;-0.3;-6.7;51.4;-1.4;12;-0.2;234;132;168;168;0;1,59509E+12;752;0.04904831625183016;0.06514459665144597;67;42.8
51.6;101.4;-0.2;-6.7;51.4;-1.5;11.8;-0.1;234;132;168;168;0;1,59509E+12;753;0.03777452415812592;0.09802130898021309;51.6;64.4
14;113.6;-0.2;-6.7;51.6;-1.4;11.8;-0.1;234;132;168;168;0;1,59509E+12;754;0.010248901903367497;0.11659056316590562;14;76.6
-30.2;137.8;-0.2;-6.7;51.6;-1.4;11.8;-0.1;234;132;168;168;0;1,59509E+12;755;-0.004421669106881405;0.15342465753424658;-6.04;10.080.000.000.000.000
3.2;142.4;-0.1;-6.7;51.2;-1.3;11.7;-0.2;234;131;170;170;0;1,59509E+12;756;0.002342606149341142;0.1604261796042618;3.2;105.4
-13.6;133.6;-0.2;-6.7;51.1;-1.1;11.4;-0.6;234;132;169;169;0;1,59509E+12;757;-0.001991215226939971;0.14703196347031963;-2.72;96.6
-22.6;128.8;-0.2;-6.7;51.2;-1.2;11.8;-0.6;234;131;169;169;0;1,59509E+12;758;-0.0033089311859443634;0.13972602739726028;-45.200.000.000.000.000;9.180.000.000.000.000
-14.8;151.6;-0.2;-6.7;51.4;-1.2;11.9;-0.3;234;131;169;169;0;1,59509E+12;759;-0.002166910688140557;0.17442922374429223;-29.600.000.000.000.000;114.6
-11.2;172.8;-0.2;-6.8;51.6;-0.6;11.8;-0.1;234;131;169;169;0;1,59509E+12;760;-0.0016398243045387991;0.20669710806697109;-22.399.999.999.999.900;135.8
-4.4;199.6;-0.1;-6.8;51.8;-0.6;11.9;0.3;234;131;169;169;0;1,59509E+12;761;-0.0006442166910688141;0.24748858447488584;-0.8800000000000001;162.6
-31.6;243;-0.1;-6.9;52.1;-0.9;11.7;0.3;234;131;169;169;0;1,59509E+12;762;-0.0046266471449487555;0.3135464231354642;-6.32;206
-46.6;296.4;-0.2;-7.1;52.7;-0.8;12.3;0.5;234;131;169;169;0;1,59509E+12;763;-0.006822840409956076;0.39482496194824956;-9.32;259.4
-32.6;349;-0.2;-7;52.6;-1.3;12.4;1.2;234;131;169;169;0;1,59509E+12;764;-0.004773060029282577;0.4748858447488584;-65.200.000.000.000.000;312
-30.2;375.4;-0.2;-7;52.7;-1.3;11.4;1.8;234;131;169;169;0;1,59509E+12;765;-0.004421669106881405;0.5150684931506849;-6.04;338.4
-16.4;386.4;-0.2;-7;52.6;-1;13.2;0.9;234;131;169;169;0;1,59509E+12;766;-0.0024011713030746705;0.5318112633181126;-3.28;349.4
-7.6;368.6;-0.2;-7;52.6;-1;12.1;2;234;131;169;169;0;1,59509E+12;767;-0.0011127379209370425;0.5047184170471842;-1.52;331.6
250;603;-0.3;-7.4;54.8;-1.2;14.6;0.8;234;131;169;169;0;1,59509E+12;768;0.18301610541727673;0.8614916286149162;250;566
204.2;506.4;-0.3;-7.2;53.7;0.1;14.6;-0.2;234;131;169;169;0;1,59509E+12;769;0.14948755490483162;0.7144596651445966;204.2;469.4
119.6;357.6;-0.2;-7.1;52.7;-0.9;11.4;1.3;234;131;169;169;0;1,59509E+12;770;0.08755490483162517;0.48797564687975653;119.6;320.6
140;291.2;-0.2;-7;52.4;-0.9;11.1;1.8;234;131;169;169;0;1,59509E+12;771;0.10248901903367497;0.38691019786910197;140;254.2
128;266.6;-0.3;-7;52.3;-1;10.6;0.9;234;131;169;169;0;1,59509E+12;772;0.09370424597364568;0.34946727549467277;128;22.960.000.000.000.000
69.2;265.8;-0.3;-7;52.7;-0.9;11.5;1.7;234;131;169;169;0;1,59509E+12;773;0.050658857979502196;0.3482496194824962;69.2;228.8
106.6;345.6;-0.3;-7.3;54.8;-0.9;13.9;1.4;234;131;169;169;0;1,59509E+12;774;0.07803806734992678;0.4697108066971081;106.6;308.6
147.2;397.8;-0.3;-7.4;55;-1.3;14;-0.5;234;131;169;169;0;1,59509E+12;775;0.10775988286969253;0.5491628614916286;147.2;360.8
130.2;408.4;-0.3;-7.1;53;-1.2;13.9;1.6;234;131;169;169;0;1,59509E+12;776;0.09531478770131771;0.565296803652968;130.2;371.4
107.2;402.8;-0.3;-7;53.4;-1.6;11.4;1.4;234;131;169;169;0;1,59509E+12;777;0.07847730600292827;0.5567732115677322;107.2;365.8
100.2;388.6;0;-6.9;52.6;-0.3;12.3;2.7;234;131;169;169;0;1,59509E+12;778;0.07335285505124452;0.5351598173515982;100.2;351.6
145.8;447.2;0;-7.1;53.5;-1.1;11.2;1.9;234;131;169;169;0;1,59509E+12;779;0.1067349926793558;0.6243531202435312;145.8;410.2
145.8;462.2;0.1;-7.1;53.6;-0.9;11.3;1.4;234;131;169;169;0;1,59509E+12;780;0.1067349926793558;0.6471841704718417;145.8;425.2
132.2;455.8;0.1;-7;53.5;-0.7;11.8;1.6;234;131;169;169;0;1,59509E+12;781;0.09677891654465592;0.6374429223744292;132.2;418.8
108.4;427.8;0.2;-7;53.3;-0.8;10.5;1.4;234;131;169;169;0;1,59509E+12;782;0.07935578330893119;0.5948249619482496;108.4;390.8
88.8;406.8;0.2;-7;53.1;-0.8;12;1.4;234;131;169;169;0;1,59509E+12;783;0.06500732064421669;0.562861491628615;88.8;369.8
53.4;419.6;0.3;-7;53;-1;12.1;1.7;234;131;169;169;0;1,59509E+12;784;0.039092240117130306;0.5823439878234399;53.4;382.6
49.8;403.2;0.3;-7.1;53.2;-0.9;12.3;1.9;234;131;169;169;0;1,59509E+12;785;0.03645680819912152;0.5573820395738204;49.8;366.2
45.8;430;0.3;-7.1;53.6;-0.7;12.6;2.2;234;131;169;169;0;1,59509E+12;786;0.03352855051244509;0.5981735159817352;45.8;393
30.2;430.4;0.2;-7.2;54.1;-0.8;12.7;1.6;234;131;169;169;0;1,59509E+12;787;0.022108345534407027;0.5987823439878234;30.2;393.4
126.2;367.2;0.1;-7;52.6;-0.8;12.2;1.3;234;131;169;169;0;1,59509E+12;788;0.0923865300146413;0.5025875190258752;126.2;330.2
654;219;0.1;-7;52.7;-0.6;11.7;1.7;234;131;169;169;0;1,59509E+12;789;0.4787701317715959;0.2770167427701674;654;182
733.6;170.8;0;-7;52.9;-0.3;11.6;0.4;234;131;169;169;0;1,59509E+12;790;0.5370424597364568;0.20365296803652969;733.6;133.8
755.2;158.2;0;-7;53.2;-0.4;11.5;0.4;234;131;169;169;0;1,59509E+12;791;0.5528550512445095;0.18447488584474883;755.2;12.119.999.999.999.900
773.8;153.6;0;-7.1;53.2;-0.4;11.6;1.1;234;131;169;169;0;1,59509E+12;792;0.5664714494875549;0.17747336377473363;773.8;116.6
766.8;153.6;0;-7.1;53.1;-1.1;12.8;1.6;234;131;169;169;0;1,59509E+12;793;0.5613469985358711;0.17747336377473363;766.8;116.6
786.6;173.6;0.1;-7.1;53.4;-1.1;14;1.9;234;131;169;169;0;1,59509E+12;794;0.5758418740849195;0.20791476407914763;786.6;136.6
972.2;294.4;0.4;-7;54.9;0.7;10.1;0.7;244;137;157;157;0;1,59509E+12;795;0.7117130307467058;0.39178082191780816;972.2;257.4
633;512;0.9;-6.6;52.7;-0.9;8.2;1.1;244;137;157;157;0;1,59509E+12;796;0.4633967789165447;0.7229832572298326;633;475
476.6;499;1.1;-6.6;53;-2.1;6.4;-1.2;244;137;157;157;0;1,59509E+12;797;0.3489019033674964;0.7031963470319634;476.6;462
244.2;447.6;2;-6.6;54.1;-1.1;6.4;-5.2;261;138;159;159;0;1,59509E+12;798;0.1787701317715959;0.6249619482496195;244.2;410.6
779;308;2.5;-6.6;55.4;0.8;5.5;-8.2;261;138;159;159;0;1,59509E+12;799;0.5702781844802343;0.4124809741248097;779;271
127;40;2.6;-6.6;52.3;4.5;5.8;-8.4;262;136;163;163;0;1,59509E+12;800;0.09297218155197658;0.042313546423135465;127;27.8
-270;-91;2.5;-6.7;51.9;4.7;8.4;-7.9;262;136;163;163;0;1,59509E+12;801;-0.19765739385065886;-0.1948249619482496;-270;-128
-291;-11.6;2.3;-6.6;51.4;3.4;10.6;-5.3;262;136;163;163;0;1,59509E+12;802;-0.2130307467057101;0.02660578386605784;-291;17.48
-187.2;39.6;1.9;-6.7;52.2;1.7;12.9;-2.4;262;136;163;163;0;1,59509E+12;803;-0.1370424597364568;0.023926940639269405;-187.2;15.719.999.999.999.900
-10.8;220.2;1.9;-6.7;52.3;1.8;12.4;-3.2;262;136;163;163;0;1,59509E+12;804;-0.001581259150805271;0.23013698630136983;-2.16;151.2
-24.4;231.6;1.9;-6.7;52.4;2.2;12.4;-2.7;262;136;163;163;0;1,59509E+12;805;-0.0035724743777452413;0.24444444444444444;-4.88;160.6
-23.6;226.2;2;-6.7;52.6;2.5;13.2;-2.4;262;136;163;163;0;1,59509E+12;806;-0.003455344070278185;0.23622526636225263;-4.720.000.000.000.000;155.2
-11.8;262.8;2.1;-6.8;53;3.1;13.5;-3;262;136;163;163;0;1,59509E+12;807;-0.0017276720351390926;0.2919330289193303;-23.600.000.000.000.000;191.8
-35;279.6;1.8;-6.8;52.3;2.2;13.6;-2.4;262;136;163;163;0;1,59509E+12;808;-0.005124450951683748;0.31750380517503807;-7;20.860.000.000.000.000
-20.8;329.4;1.8;-6.8;52.6;2;14.5;-2;262;136;163;163;0;1,59509E+12;809;-0.0030453879941434846;0.39330289193302886;-4.16;258.4
-30.6;295.8;1.6;-6.7;51.6;0.3;12.1;-1.6;252;132;167;167;0;1,59509E+12;810;-0.004480234260614935;0.3421613394216134;-6.120.000.000.000.000;224.8
-29.8;270.6;1.6;-6.8;51.6;1.2;11.7;-2.3;252;132;167;167;0;1,59509E+12;811;-0.004363103953147878;0.30380517503805177;-5.960.000.000.000.000;19.960.000.000.000.000
33;245.2;1.7;-6.8;51.6;2.3;12.6;-2.5;252;132;167;167;0;1,59509E+12;812;0.024158125915080528;0.26514459665144596;33;174.2
228.2;152.8;1.8;-6.8;51.4;2.1;12.5;-2.8;252;132;167;167;0;1,59509E+12;813;0.1670571010248902;0.1245053272450533;228.2;8.180.000.000.000.000
590;33;1.8;-6.7;51.1;2.1;11.3;-2.6;252;132;167;167;0;1,59509E+12;814;0.43191800878477304;-0.011567732115677323;590;-76.000.000.000.000.000
603;-5.8;1.7;-6.6;50.7;2.3;11.3;-3.1;252;132;167;167;0;1,59509E+12;815;0.44143484626647145;-0.020334855403348555;603;-13.36
627.4;17.4;1.6;-6.6;50.8;2.1;13.1;-3;252;132;167;167;0;1,59509E+12;816;0.45929721815519764;0.017168949771689496;627.4;11.28
656.6;45.2;1.5;-6.6;50.9;2;13;-3.2;252;132;167;167;0;1,59509E+12;817;0.4806734992679356;0.04389649923896499;656.6;28.84
576.8;81;1.4;-6.5;50.7;1.8;13.6;-2.7;252;132;167;167;0;1,59509E+12;818;0.4222547584187408;0.0669710806697108;576.8;44
336.4;150;1.3;-6.4;50.8;0.6;12.7;-2.4;252;132;167;167;0;1,59509E+12;819;0.24626647144948755;0.1719939117199391;336.4;113
154.2;175.8;1.2;-6.3;50.9;0.7;14;-2.6;252;132;167;167;0;1,59509E+12;820;0.11288433382137628;0.21126331811263319;154.2;138.8
101.4;200;1.1;-6.3;50.8;0.7;13.1;-2.3;252;132;167;167;0;1,59509E+12;821;0.07423133235724744;0.2480974124809741;101.4;163
-16.8;155.2;1.2;-6.2;50.4;0.8;12.4;-1.5;252;132;167;167;0;1,59509E+12;822;-0.0024597364568081995;0.16164383561643833;-33.600.000.000.000.000;10.619.999.999.999.900
-27.4;132.6;1.2;-6.1;50.4;0.9;12.7;-1.7;252;132;167;167;0;1,59509E+12;823;-0.004011713030746706;0.09375951293759512;-5.48;61.599.999.999.999.900
-7.2;246.6;1.1;-6.2;51.6;0.1;14.6;-2;248;137;167;167;0;1,59509E+12;824;-0.001054172767203514;0.26727549467275497;-14.400.000.000.000.000;175.6
-13.2;282.6;1.1;-6.2;51.5;0.3;15.1;-1.9;248;137;167;167;0;1,59509E+12;825;-0.0019326500732064422;0.32207001522070017;-2.64;21.160.000.000.000.000
-27.8;277;1.1;-6.2;51.5;0.4;14.7;-1.8;248;137;167;167;0;1,59509E+12;826;-0.004070278184480235;0.3135464231354642;-55.600.000.000.000.000;206
-28;290.4;1.1;-6.2;51.3;-0.2;14.5;-1.1;248;137;167;167;0;1,59509E+12;827;-0.004099560761346999;0.33394216133942156;-56.000.000.000.000.000;21.939.999.999.999.900
-22;313.4;1;-6.3;51.4;-0.4;14.1;-1.1;248;137;167;167;0;1,59509E+12;828;-0.0032210834553440706;0.36894977168949766;-4.4;24.239.999.999.999.900
383;616;1.1;-6.4;52.4;0.7;15.1;-0.3;248;137;167;167;0;1,59509E+12;829;0.28038067349926793;0.8295281582952816;383;545
420.6;483.6;1.2;-6.3;52.4;1;13;-1.9;248;137;167;167;0;1,59509E+12;830;0.3079062957540264;0.6280060882800609;420.6;412.6
-12.2;219;1.6;-6.3;52.1;1.2;15.6;-3.4;248;137;167;167;0;1,59509E+12;831;-0.0017862371888726206;0.2252663622526636;-2.44;148
248;345;2.9;-6.7;54.6;3.7;20.2;-4;268;139;157;157;0;1,59509E+12;832;0.1815519765739385;0.4170471841704718;248;274
165;38;3.3;-6.2;51.4;5.1;17.6;-8.2;268;139;157;157;0;1,59509E+12;833;0.12079062957540264;-0.010045662100456623;165;-66.000.000.000.000.000
189.6;30.8;3.6;-6;51.7;4.9;18;-14.5;278;143;158;158;0;1,59509E+12;834;0.13879941434846266;-0.012237442922374431;189.6;-8.040.000.000.000.000
233.8;12;3.9;-5.5;49.7;1.1;18.8;-20.3;278;143;158;158;0;1,59509E+12;835;0.1711566617862372;-0.017960426179604264;233.8;-11.8
1275;-245;4;-3.6;38.9;9.6;-11.3;5.9;256;138;222;222;0;1,59509E+12;837;0.9333821376281113;-0.4809741248097412;1275;-316
657;-451;4.3;-3.6;40.6;12.5;-7;-2.1;261;141;212;212;0;1,59509E+12;839;0.48096632503660325;-0.7945205479452054;657;-522
962;-300;4.1;-3.5;38.7;11.9;-9.8;1.1;256;139;223;223;0;1,59509E+12;841;0.7042459736456809;-0.5646879756468798;962;-371
165;-403;3.6;-3.4;38.2;11.8;-6.4;0.8;248;138;226;226;0;1,59509E+12;843;0.12079062957540264;-0.7214611872146118;165;-474
871;-341;3.6;-3.1;35.8;11.5;-8.4;10.2;248;138;226;226;0;1,59509E+12;844;0.637628111273792;-0.6270928462709284;871;-412
196;-12.6;2;-5.6;49;-0.2;5.4;-9.8;255;139;173;173;0;1,59509E+12;846;0.14348462664714495;-0.025449010654490106;196;-16.72
203;-81.6;1.2;-5.5;48.6;-0.7;8.2;-8.9;246;140;175;175;0;1,59509E+12;847;0.1486090775988287;-0.23226788432267884;203;-152.6
557;154;-0.7;-4.8;49.3;-5.8;9;-1.3;228;147;175;175;0;1,59509E+12;850;0.40775988286969256;0.1263318112633181;557;83
492.8;169;-0.8;-5.3;50.4;-5.1;14.6;0.4;229;144;172;172;0;1,59509E+12;852;0.3607613469985359;0.1491628614916286;492.8;98
402.4;181.2;-0.6;-5.4;50.3;-5.6;16;2;229;144;172;172;0;1,59509E+12;853;0.2945827232796486;0.16773211567732113;402.4;11.019.999.999.999.900
292.8;192.6;-0.6;-5.5;50.4;-5.6;16.1;1.4;230;142;171;171;0;1,59509E+12;854;0.2143484626647145;0.18508371385083713;292.8;121.6
359;132.6;-0.6;-5.4;50.2;-4.3;13.8;0.2;231;144;173;173;0;1,59509E+12;855;0.26281112737920936;0.09375951293759512;359;61.599.999.999.999.900
353.6;102;-0.5;-5.3;50.3;-4.4;14.1;-0.4;231;144;173;173;0;1,59509E+12;856;0.2588579795021962;0.0471841704718417;353.6;31
245.8;148.6;-0.4;-5.4;50.8;-4.4;15.4;0.2;231;144;173;173;0;1,59509E+12;857;0.17994143484626648;0.11811263318112632;245.8;77.6
203.8;184.4;-0.3;-5.6;51.1;-4.6;16.8;1.4;231;144;173;173;0;1,59509E+12;858;0.149194729136164;0.1726027397260274;203.8;113.4
3.2;249.6;-0.3;-5.6;50.8;-4.6;16.2;0.7;231;144;173;173;0;1,59509E+12;859;0.002342606149341142;0.27184170471841707;3.2;178.6
-34.8;226;-0.2;-5.6;50.5;-4.2;16.4;0.5;231;144;173;173;0;1,59509E+12;860;-0.005095168374816984;0.2359208523592085;-6.96;155
6;168.6;-0.2;-5.6;50.1;-3.9;16.9;0;233;140;174;174;0;1,59509E+12;861;0.004392386530014641;0.14855403348554033;6;97.6
97.8;184.2;-0.2;-5.5;50.2;-4.1;15.3;-0.7;234;143;171;171;0;1,59509E+12;862;0.07159590043923865;0.17229832572298323;97.8;11.319.999.999.999.900
177.6;152;-0.3;-5.3;50.2;-4.2;13.6;-0.5;234;143;171;171;0;1,59509E+12;863;0.13001464128843337;0.1232876712328767;177.6;81
377.8;71.8;-0.3;-5.2;49.9;-3.8;11.7;-0.2;234;143;171;171;0;1,59509E+12;864;0.27657393850658857;0.0012176560121765559;377.8;0.7999999999999972
430;55.6;-0.4;-5.2;50.1;-3.9;12.5;-0.2;234;143;171;171;0;1,59509E+12;865;0.31478770131771594;-0.004687975646879757;430;-3.08
504;49.2;-0.5;-5.2;50.3;-4;11.7;-0.7;234;143;171;171;0;1,59509E+12;866;0.3689604685212299;-0.006636225266362252;504;-4.359.999.999.999.990
518.8;41;-0.6;-5.1;50.3;-3.9;11.1;-0.1;234;143;171;171;0;1,59509E+12;867;0.3797950219619326;-0.0091324200913242;518.8;-6
